Name_jp,Name,url,rss,ID
e-Gov ????,e-Gov Portal (JPN),https://public-comment.e-gov.go.jp/servlet/Public,https://public-comment.e-gov.go.jp/rss/pcm_result.xml,1
????,Cabinet Secretariat of Japan,https://www.kantei.go.jp/jp/kakugi/index.html,,2
????,Cabinet Secretariat of Japan,https://www.kantei.go.jp/jp/kakugikettei/index.html,,3
????,Cabinet Secretariat of Japan,https://www.cas.go.jp/jp/seisaku/index.html,,4
????,Cabinet Secretariat of Japan,https://www.cas.go.jp/jp/pubcom/index.html,,5
????,Cabinet Secretariat of Japan,https://www.kantei.go.jp/jp/singi/tougou-innovation/,,6
????,Cabinet Secretariat of Japan,https://www5.cao.go.jp/keizai-shimon/index.html,,7
????,Cabinet Secretariat of Japan,https://www8.cao.go.jp/kisei-kaikaku/index.html,,8
?????,"Ministry of Land, Infrastructure, Transport and Tourism",https://www.mlit.go.jp/policy/shingikai/index.html,,9
???????????????,National Institute for Environmental Studies ,https://adaptation-platform.nies.go.jp/,,10
???,Ministry of Foreign Affairs of Japan,https://www.mofa.go.jp/mofaj/gaiko/kankyo/kiko/index.html,,11
??,PM's Office/??,https://www.kantei.go.jp/jp/singi/keizaisaisei/portal/plan/,,12
???????????,Japan Economic Revitalization Bureau (Cabinet Secretariat),https://www.kantei.go.jp/jp/singi/keizaisaisei/portal/decarbonization/,,13
???,Ministry of the Environment,http://www.env.go.jp/hourei/03/,,14
???,Ministry of the Environment,http://www.env.go.jp/council/b_info.html,,15
???,MOE,https://www.env.go.jp/council/06earth/yoshi06-20.html,,16
?????,"Ministry of Economy, Trade and Industry ",https://www.meti.go.jp/shingikai/index.html,,17
?????,METI,https://www.meti.go.jp/press/2020/10/20201009002/20201009002.html,,18
?????,METI,https://www.meti.go.jp/shingikai/energy_environment/kankyo_innovation_finance/index.html,,19
?????,METI,https://www.enecho.meti.go.jp/committee/council/basic_policy_subcommittee/,,20
?????,METI,https://www.meti.go.jp/shingikai/energy_environment/green_innovation/index.html,,21
????? ????????,Agency for Natural Resources and Energy,https://www.enecho.meti.go.jp/category/others/,,22
????? ????????,Agency for Natural Resources and Energy,https://www.enecho.meti.go.jp/category/saving_and_new/,,23
????? ????????,Agency for Natural Resources and Energy,https://www.enecho.meti.go.jp/category/resources_and_fuel/,,24
????? ????????,Agency for Natural Resources and Energy,https://www.enecho.meti.go.jp/category/electricity_and_gas/,,25
?????????????,"Ministry of Economy, Trade and Industry News",https://www.meti.go.jp/press/category_05.html,https://www.meti.go.jp/ml_index_release_atom.xml,26
?????????????,"Ministry of Economy, Trade and Industry News",https://wwws.meti.go.jp/interface/honsho/committee/index.cgi/committee,,27
?????,METI,https://www.meti.go.jp/shingikai/mono_info_service/mobility_kozo_henka/index.html,,28
